1,Dry Cleaning,Shirts,Normal,,2.5,,1 Day
2,Dry Cleaning,,Designer,,3.5,,1 Day
3,Dry Cleaning,,5 Shirts (Not Blouses),,10,,1 Day
4,Dry Cleaning,,Silk ties,,2.5,,1 Day
5,Dry Cleaning,Suits,,,10,,1 Day
6,Dry Cleaning,Jackets,Non-Quilted,,7,,1 Day
7,Dry Cleaning,,Quilted jackets,,9.5,,1 Day
8,Dry Cleaning,Trousers,,,5,,1 Day
9,Dry Cleaning,Coats,,,15,,1 Day
10,Dry Cleaning,Skirts,Normal,,5.5,,1 Day
11,Dry Cleaning,,Pleated,,7.5,,1 Day
12,Dry Cleaning,Dresses,,,8.5,,1 Day
13,Dry Cleaning,Tops,,,4,,1 Day
14,Dry Cleaning,Silk blouses,,,5.5,,1 Day
15,Dry Cleaning,Woolens,,,5,,1 Day
20,Repairs & Alterations,Shortening of trousers,,,8.5,,1 Day
21,Repairs & Alterations,Shortening of jackets,,,25,,1 Day
22,Repairs & Alterations,Shortening of coats,,,20,,1 Day
23,Repairs & Alterations,New zips on trousers,,,8.5,,1 Day
24,Repairs & Alterations,Shortening of dresses,,,10,,1 Day
25,Repairs & Alterations,Shortening of jacket sleeves,,,18,,1 Day
