1,Dry Cleaning,Shirt,Hang,,2,, Next Day 
2,Dry Cleaning,,Fold,,3,, Next Day 
3,Dry Cleaning,2 Pc Suit,,,12,18.5, Next Day 
4,Dry Cleaning,2 Pc Evening Suit,,,18.5,, Next Day 
5,Dry Cleaning,3 Pc Suit,,,30,, Next Day 
6,Dry Cleaning,Suit Jacket,Suit,,7.5,9.5, Next Day 
7,Dry Cleaning,,Length 3/4,,12.5,15.5, Next Day 
8,Dry Cleaning,,Padded Short,,25,, Next Day 
9,Dry Cleaning,,Padded 3/4,,30,, Next Day 
10,Dry Cleaning,Coat,Knee Length,,18,, Next Day 
11,Dry Cleaning,,Mid-Calf,,19,, Next Day 
12,Dry Cleaning,,Ankel,,20,, Next Day 
13,Dry Cleaning,,Tail,,16.5,, Next Day 
14,Dry Cleaning,Scarf,Non-Pashmina,,8.5,, Next Day 
15,Dry Cleaning,,Pashmina (At Owner Risk),,15,, Next Day 
16,Dry Cleaning,Dress,"Plain, Knee Length",,12,17.5, Next Day 
17,Dry Cleaning,,Delecate And Silky Fabric,,16.5,, Next Day 
18,Dry Cleaning,,Evening,,27.5,, Next Day 
19,Dry Cleaning,,Delicate/Silky Evening,,39.5,, Next Day 
20,Dry Cleaning,,Wedding,,100,, Next Day 
21,Dry Cleaning,Blouse,,,6.5,, Next Day 
22,Dry Cleaning,Skirt,"Knee Length, No Lining",,9,, Next Day 
23,Dry Cleaning,,With Lining,,12,, Next Day 
24,Dry Cleaning,Waistcoat,,,7.5,, Next Day 
25,Dry Cleaning,Tie,,,5,, Next Day 
26,Dry Cleaning,Sweater/Cardigan,,,9,, Next Day 
27,Dry Cleaning,Ski Jacket,,,40,, Next Day 
28,Dry Cleaning,Trousers,,,35,, Next Day 
29,Dry Cleaning,Suit,,,55,, Next Day 
30,Dry Cleaning,Bedspread,Single,,30,, Next Day 
31,Dry Cleaning,,Double,,35,, Next Day 
32,Dry Cleaning,,Queen,,37,, Next Day 
33,Dry Cleaning,,King,,40,, Next Day 
34,Dry Cleaning,Blanket,Single,,25,, Next Day 
35,Dry Cleaning,,Double,,30,, Next Day 
36,Dry Cleaning,,Queen,,32,, Next Day 
37,Dry Cleaning,,King,,35,, Next Day 
38,Dry Cleaning,Cushion Cover,,,7.5,, Next Day 
39,Dry Cleaning,Dressing Gown,Knee Length,,13.5,17.5, Next Day 
40,Dry Cleaning,Night Dress,Knee Length,,15,, Next Day 
41,Dry Cleaning,,Mid-Calf Length,,16,, Next Day 
42,Dry Cleaning,,Ankel,,17,, Next Day 
43,Dry Cleaning,Sofa Cover,2 Seat,,45,, Next Day 
44,Dry Cleaning,,3 Seat,,60,, Next Day 
45,Dry Cleaning,,4 Seat,,75,, Next Day 
46,Dry Cleaning,Rug,"(Per Sq.M, Minimum 1 Sq.M)",,30,, Next Day 
47,Dry Cleaning,Curtains Lining,"(Per Sq.M, Minimum 1 Sq.M)",,15,, Next Day 
48,Household Laundry,Duvet Cover,Single,,6,, 3 Days 
49,Household Laundry,,Double,,7,, 3 Days 
50,Household Laundry,,King / Queen,,8,, 3 Days 
51,Household Laundry,Sheet,Single,,6,, 3 Days 
52,Household Laundry,,Double,,7,, 3 Days 
53,Household Laundry,,King/Queen,,8,, 3 Days 
54,Household Laundry,Pillow Case,,,2.5,, 3 Days 
55,Household Laundry,Matress Cover,Single,,11,, 3 Days 
56,Household Laundry,,Double,,12,, 3 Days 
57,Household Laundry,,King / Queen,,14,, 3 Days 
58,Household Laundry,"Duvets, Non-Feather",Single,,22,, 3 Days 
59,Household Laundry,,Double,,28,, 3 Days 
60,Household Laundry,,Queen/King,,30,, 3 Days 
61,Household Laundry,,,,,, 3 Days 
62,Household Laundry,"Duvets, Non-Feather",Single,,27,, 3 Days 
63,Household Laundry,,Double,,32,, 3 Days 
64,Household Laundry,,Queen/King,,35,, 3 Days 
65,Household Laundry,Pillow,Non-Feather,,10,, 3 Days 
66,Household Laundry,,Feather,,12,, 3 Days 
67,Household Laundry,Table Cloth,"Small, <2Sq M",,6,, 3 Days 
68,Household Laundry,,"Medium, >3 Sq M",,7.5,, 3 Days 
69,Household Laundry,,"Large, <3 Sq M",,10.5,, 3 Days 
70,Household Laundry,Towel,Hand,,5,, 3 Days 
71,Household Laundry,,Bath,,6,, 3 Days 
72,Household Laundry,,Face,,2.5,, 3 Days 
73,Alterations and Repair,Trousers,,,13.5,, 3 Days 
74,Alterations and Repair,,Turnups,,15.95,, 3 Days 
75,Alterations and Repair,,Fold Hem,,18.95,, 3 Days 
76,Alterations and Repair,Jeans,Keeping Original Hem,,14.95,, 3 Days 
77,Alterations and Repair,Skirt,Making Straight,,15.95,, 3 Days 
78,Alterations and Repair,,Pleated,,21.95,, 3 Days 
79,Alterations and Repair,Coat,Shortening,,26.95,30, 3 Days 
80,Alterations and Repair,Jacket / Coat Sleeves,Shortening,,25.95,, 3 Days 
81,Alterations and Repair,,Keep Same Finish,,40,, 3 Days 
82,Alterations and Repair,Shirt,Shortening Sleeve,,14.95,, 3 Days 
83,Alterations and Repair,,Turning Collar & Cuff,,18.95,, 3 Days 
84,Alterations and Repair,Trousers,Waist In Or Out,,15.95,, 3 Days 
85,Alterations and Repair,Jeans,Waist In Or Out,,16.95,, 3 Days 
