1,Laundry,"Laundry (per kg, minimum 2 kg)",,4.5,,,Next Day
2,Dry Cleaning,Trousers,Plain,5.95,,,Same Day
3,Dry Cleaning,,Linen / Silk Trousers,6.95,,,Same Day
4,Dry Cleaning,Skirts,Plain,5.95,,,Same Day
5,Dry Cleaning,,Linen/Silk,6.95,,,Same Day
6,Dry Cleaning,,Part Pleated,7.95,,,Same Day
7,Dry Cleaning,,Full Pleated,9.95,,,Same Day
8,Dry Cleaning,Dresses,Knee Length,,8.95,,Same Day
9,Dry Cleaning,,Long,,9.95,,Same Day
10,Dry Cleaning,,Evening,14.95,,,Same Day
11,Dry Cleaning,,Linen / Silk,,9.95,,Same Day
12,Dry Cleaning,,Wedding,,40,,Same Day
13,Dry Cleaning,Suits,2pc,11.95,,,Same Day
14,Dry Cleaning,,3pc,13.95,,,Same Day
15,Dry Cleaning,,2pc Dinner,13.95,,,Same Day
16,Dry Cleaning,,2pc Tailed,14.95,,,Same Day
17,Dry Cleaning,,2pc linen/silk,11.95,,,Same Day
18,Dry Cleaning,Coats,Knee Length,10.95,,,Same Day
19,Dry Cleaning,,Long Coat,11.95,,,Same Day
20,Dry Cleaning,,Raincoat,10.95,,,Same Day
21,Dry Cleaning,,Extra Lined Raincoat,12.95,,,Same Day
22,Dry Cleaning,Shirts / Blouses,Standard,1.95,,,Same Day
23,Dry Cleaning,,Evening / Linen,2.95,,,Same Day
24,Dry Cleaning,,Silk,4.95,,,Same Day
25,Dry Cleaning,,Ladies,2.95,,,Same Day
26,Dry Cleaning,,Blouse,,5.95,,Same Day
27,Dry Cleaning,Other,Scarf,,4.95,,Same Day
28,Dry Cleaning,,Tie,3.95,,,Same Day
29,Dry Cleaning,,Shawl,,5.95,,Same Day
30,Dry Cleaning,Jacket,Plain,8.95,,,Same Day
31,Dry Cleaning,,Silk,9.95,,,Same Day
32,Dry Cleaning,,Waist Coat,4.95,,,Same Day
33,Dry Cleaning,Woolies / Jumpers / Cardigans,Jumper,5.95,,,Same Day
34,Dry Cleaning,,Waist-Length Cardigan,6.95,,,Same Day
35,Dry Cleaning,,Long Cardigan,7.5,,,Same Day
36,Ironing,Shirt,,1.5,,,Same Day
37,Ironing,Jacket,,3.75,,,Same Day
38,Ironing,Suit,,6.95,,,Same Day
39,Ironing,Dress,,,5.5,,Same Day
40,Ironing,Plouse,,,3.95,,Same Day
41,Ironing,Trouser,,,3.95,,Same Day
42,Ironing,Sheets,,3,,,Same Day
43,Ironing,Cover,,3.5,,,Same Day
44,Ironing,,,,,,Same Day
45,Household Laundry,Curtain Plain (per sq. meter),,5,,,Same Day
46,Household Laundry,Lined Curtain (per sq. meter),,6,,,Same Day
47,Household Laundry,Blanket,,9.95,,,Same Day
48,Household Laundry,Non-feather Duvet,Single,13.95,,,Same Day
49,Household Laundry,,Double,18.95,,,Same Day
50,Household Laundry,,Kingsize,24.95,,,Same Day
51,Household Laundry,Feather Duvet,Single,15.95,,,Same Day
52,Household Laundry,,Double,20.95,,,Same Day
53,Household Laundry,,Kingsize,17.95,,,Same Day
54,Household Laundry,Bath Towel,,2.5,,,Same Day
55,Household Laundry,Shocks / Handkerchief,,1,,,Same Day
