1,Men's Dry Cleaning,Suit,2 pc,10.99,,, Next day 
2,Men's Dry Cleaning,,3 pc,13.99,,, Next day 
3,Men's Dry Cleaning,Evening Suit,2 pc,17.99,,, Next day 
4,Men's Dry Cleaning,,3 pc,20.99,,, Next day 
5,Men's Dry Cleaning,Jacket,,6.99,,, Next day 
6,Men's Dry Cleaning,Troursers,,4.99,,, Next day 
7,Men's Dry Cleaning,Tie,,4.5,,, Next day 
8,Men's Dry Cleaning,Waistcoat,,4.99,,, Next day 
9,Men's Dry Cleaning,Knitwear,,5.99,,, Next day 
10,Men's Dry Cleaning,Coat,,10.99,,, Next day 
11,Men's Dry Cleaning,Rain Coat,,13.99,,, Next day 
12,Men's Dry Cleaning,Ski suit,,25.99,,, Next day 
13,Ladies' Dry Cleaning,2 Piece suit,,10.99,,, Next day 
14,Ladies' Dry Cleaning,Jacket,,6.99,,, Next day 
15,Ladies' Dry Cleaning,Trousers,,4.99,,, Next day 
16,Ladies' Dry Cleaning,Skirt,,4.99,,, Next day 
17,Ladies' Dry Cleaning,Blouse,,4.99,,, Next day 
18,Ladies' Dry Cleaning,Knitwear,,5.99,,, Next day 
19,Ladies' Dry Cleaning,Scarf,,4.99,,, Next day 
20,Ladies' Dry Cleaning,Day dress,,10.99,,, Next day 
21,Ladies' Dry Cleaning,Evening dress,,15.99,,, Next day 
22,Ladies' Dry Cleaning,Ladies Shirt,,2.5,,, Next day 
23,Laundry,Shirts,On Hangers,1.99,,, Next day 
24,Laundry,,Folded,2.5,,, Next day 
25,Laundry,Evening   ,Shirt,4.99,,, Next day 
26,Repair and Alteration,Trousers,Shorten,10.99,,, 2 Days 
27,Repair and Alteration,,Lengethened,10.99,,, 2 Days 
28,Repair and Alteration,,New zip,12.99,,, 2 Days 
29,Repair and Alteration,Skirt,Shorten,10.99,,, 2 Days 
30,Repair and Alteration,,Lengethened,10.99,,, 2 Days 
31,Repair and Alteration,,New zip,12.99,,, 2 Days 
