1,Dry Cleaning,2 Piece Suit,,,9.95,, 10 Hours 
2,Dry Cleaning,3 Piece Suit,,,13.95,, 10 Hours 
3,Dry Cleaning,Jacket,,,6,, 10 Hours 
4,Dry Cleaning,Trousers,,,4.5,, 10 Hours 
5,Dry Cleaning,Winter Coat,,,15,, 10 Hours 
6,Dry Cleaning,Raincoat,,,10,, 10 Hours 
7,Dry Cleaning,Shirt,Hung,,2.5,, 10 Hours 
8,Dry Cleaning,,Folded,,3,, 10 Hours 
9,Dry Cleaning,Dress Shirt,,,3,, 10 Hours 
10,Dry Cleaning,Ties,,,3,, 10 Hours 
11,Dry Cleaning,Waist Coat,,,4,, 10 Hours 
12,Dry Cleaning,Jumper / Knitwear,,,4,, 10 Hours 
13,Dry Cleaning,Blouse,,,4.5,, 10 Hours 
14,Dry Cleaning,Silk Blouse,,,5.5,, 10 Hours 
15,Dry Cleaning,Skirt,,,4,, 10 Hours 
16,Dry Cleaning,Dress,,,10,, 10 Hours 
17,Dry Cleaning,Scarf,,,4,, 10 Hours 
18,Executive Service,2 Piece Suit,,,15,, 10 Hours 
19,Executive Service,Jacket,,,10,, 10 Hours 
20,Executive Service,Trouser,,,7,, 10 Hours 
21,Executive Service,Skirt,,,7,, 10 Hours 
22,Executive Service,Coat,,,20,, 10 Hours 
23,Executive Service,Dress,,,15,, 10 Hours 
24,Executive Service,Blouse,,,7,, 10 Hours 
25,Executive Service,Shirt,,,5.5,, 10 Hours 
26,Repair & Alteration,Trousers,Shorten (plain),,10,, 24 Hours 
27,Repair & Alteration,,Lenghten (Plain),,10,, 24 Hours 
28,Repair & Alteration,,Shorten (Turn ups),,12,, 24 Hours 
29,Repair & Alteration,,Lenghten (Turn ups),,12.5,, 24 Hours 
30,Repair & Alteration,,Take in on waist,,10,, 24 Hours 
31,Repair & Alteration,,Let out on waist,,10,, 24 Hours 
32,Repair & Alteration,,Re-seat ,,10,, 24 Hours 
33,Repair & Alteration,,Taper Legs,,15,, 24 Hours 
34,Repair & Alteration,,New Pocket (each),,10,, 24 Hours 
35,Repair & Alteration,,New Half Pocket (each),,8,, 24 Hours 
36,Repair & Alteration,,New Zip,,10,, 24 Hours 
37,Repair & Alteration,,Re-line Trousers,,25,, 5 Days 
38,Repair & Alteration,,Minor Repaire,,5,, 24 Hours 
39,Repair & Alteration,Dresses / Skirts,Shorten (straight),,10,, 24 Hours 
40,Repair & Alteration,,Length (straight),,10,, 24 Hours 
41,Repair & Alteration,,Shorten (flared),,15,, 24 Hours 
42,Repair & Alteration,,Lenghten (Flared),,15,, 24 Hours 
43,Repair & Alteration,,Take in waist and hips,,15,, 24 Hours 
44,Repair & Alteration,,Let out waist and hips,,15,, 24 Hours 
45,Repair & Alteration,,New Zip (invicible),,15,, 24 Hours 
46,Repair & Alteration,,New Zip,,10,, 24 Hours 
47,Repair & Alteration,,New Zip 12 in.,,9,, 24 Hours 
48,Repair & Alteration,,New Zip 18 in.,,15,, 24 Hours 
49,Repair & Alteration,,New Zip 24 in.,,17.5,, 24 Hours 
50,Repair & Alteration,,Minor Repaire,,5,, 24 Hours 
51,Repair & Alteration,Jackets / Coats,Shorten Sleeves Pair,,25,, 48 Hours 
52,Repair & Alteration,,New Zip,,15,, 48 Hours 
53,Repair & Alteration,,New Pocket (each),,11.5,, 24 Hours 
54,Repair & Alteration,,Half New Pocket,,8,, 24 Hours 
55,Repair & Alteration,,Re-line Coat,,55,, 5 Days 
56,Repair & Alteration,,Re-line Jacket,,40,, 5 Days 
57,Repair & Alteration,,Minor Repaire,,5,, 24 Hours 
58,Household Laundry,Stiff/Collar/Band,,,4.65,, 10 Hours 
59,Household Laundry,Napkin,,,0.99,, 10 Hours 
60,Household Laundry,Table Cloth,,,8,, 36 Hours 
61,Household Laundry,Sheet,,,4,, 36 Hours 
62,Household Laundry,Pillow Case,,,2,, 36 Hours 
63,Household Laundry,Duvet Cover,,,8,, 36 Hours 
64,Household Laundry,Poly Duvet,,,25,, 36 Hours 
65,Household Laundry,Feather Duvet,,,30,, 36 Hours 
66,Household Laundry,Bath Mat,,,3,, 10 Hours 
67,Household Laundry,Beadspreet/Blanket,,,1.55,, 36 Hours 
68,Household Laundry,Tea Towel,,,2,, 10 Hours 
69,Household Laundry,Bath towel,,,2.5,, 10 Hours 
70,Household Laundry,Dressing Gown,,,8,, 10 Hours 
71,Household Laundry,Pyjama,,,10.75,, 10 Hours 
72,Household Laundry,Vest/pants/Socks,,,1.75,, 10 Hours 
73,Household Laundry,Handkerchief,,,1.25,, 10 Hours 
74,Shoe Repair,Gentlemen Shoes (Pair),Rubber Heel,,9,, 48 Hours 
75,Shoe Repair,,Leather Heel 1/4 Rubber,,16.99,, 48 Hours 
76,Shoe Repair,,Leather Heel 1/4 Iron,,15.99,, 48 Hours 
77,Shoe Repair,,Full Leather Sole,,47,, 48 Hours 
78,Shoe Repair,,Half leather Sole,,25,, 48 Hours 
79,Shoe Repair,,Rubber Sole,,20,, 48 Hours 
80,Shoe Repair,,Resin Sole,,16,, 48 Hours 
81,Shoe Repair,,Toe Pieces,,12.99,, 48 Hours 
82,Shoe Repair,,Buil Up (each),,3,, 48 Hours 
83,Shoe Repair,Ladies Shoes (Pair),Stilettos,,7,, 48 Hours 
84,Shoe Repair,,Metal Stilettos,,8,, 48 Hours 
85,Shoe Repair,,Heel,,8,, 48 Hours 
86,Shoe Repair,,Half Leather Sole,,20,, 48 Hours 
87,Shoe Repair,,Rubber Sole,,17.99,, 48 Hours 
88,Shoe Repair,,Resin Soles,,12,, 48 Hours 
89,Shoe Repair,,Toe Pieces,,9.99,, 48 Hours 
90,Shoe Repair,,Build Up,,3,, 48 Hours 
